question_id,question,complexity_tier,question_type,source_seed,is_out_of_scope,expected_elements
GAP111,What is the filing fee for guardianship petition in Genesee County?,simple,deadlines,enhanced_template,False,specific_answer;genesee_county_detail
GAP112,How much does it cost to file for court filing?,simple,deadlines,enhanced_template,False,specific_answer;genesee_county_detail
GAP113,Is there a fee waiver available for modification petition?,simple,forms,enhanced_template,False,specific_answer;genesee_county_detail
GAP114,What's the cost for court filing forms?,simple,deadlines,enhanced_template,False,specific_answer;genesee_county_detail
GAP115,Do I need to pay for emergency?,simple,deadlines,enhanced_template,False,specific_answer;genesee_county_detail
GAP116,What form do I need for termination?,simple,filing,enhanced_template,False,specific_answer;genesee_county_detail
GAP117,Where can I get the full guardianship form?,simple,deadlines,enhanced_template,False,specific_answer;genesee_county_detail
GAP118,Which PC form is for annual reporting?,simple,deadlines,enhanced_template,False,specific_answer;genesee_county_detail
GAP119,Do I need form PC 651 or PC 650 for limited guardianship?,simple,forms,enhanced_template,False,specific_answer;genesee_county_detail
GAP120,How many copies of the annual reporting form do I need?,simple,filing,enhanced_template,False,specific_answer;genesee_county_detail
GAP121,Where do I file Wayne in Genesee County?,simple,deadlines,enhanced_template,False,specific_answer;genesee_county_detail
GAP122,What's the address for filing permanent?,simple,forms,enhanced_template,False,specific_answer;genesee_county_detail
GAP123,Which room is the limited office in?,simple,filing,enhanced_template,False,specific_answer;genesee_county_detail
GAP124,Where is the Genesee County Probate Court for Macomb?,simple,deadlines,enhanced_template,False,specific_answer;genesee_county_detail
GAP125,What floor is the voluntary department on?,simple,forms,enhanced_template,False,specific_answer;genesee_county_detail
GAP126,When are full hearings held?,simple,forms,enhanced_template,False,specific_answer;genesee_county_detail
GAP127,What day of the week are temporary hearings?,simple,forms,enhanced_template,False,specific_answer;genesee_county_detail
GAP128,How long does emergency take?,simple,filing,enhanced_template,False,specific_answer;genesee_county_detail
GAP129,What's the deadline for filing contested?,simple,filing,enhanced_template,False,specific_answer;genesee_county_detail
GAP130,How many days before the hearing do I file temporary?,simple,deadlines,enhanced_template,False,specific_answer;genesee_county_detail
GAP131,Who needs to be notified for contested?,simple,filing,enhanced_template,False,specific_answer;genesee_county_detail
GAP132,What documents are needed for voluntary?,simple,filing,enhanced_template,False,specific_answer;genesee_county_detail
GAP133,Do I need a lawyer for voluntary?,simple,filing,enhanced_template,False,specific_answer;genesee_county_detail
GAP134,Can I file temporary online?,simple,forms,enhanced_template,False,specific_answer;genesee_county_detail
GAP135,How do I submit permanent to the court?,simple,deadlines,enhanced_template,False,specific_answer;genesee_county_detail
GAP136,What is the filing fee for guardian letters in Genesee County?,simple,filing,enhanced_template,False,specific_answer;genesee_county_detail
GAP137,How much does it cost to file for annual report?,simple,forms,enhanced_template,False,specific_answer;genesee_county_detail
